Variable Name,Variable Description
FSD032F,[The next statement is . . .] {CHILD'S NAME WAS /THE CHILDREN WERE} not eating enough because (I/we) just couldn't afford enough food.
FSD111,"In the last 12 months, since {DISPLAY CURRENT MONTH} of last year, did you ever cut the size of {CHILD'S NAME's/any of the children's} meals because there wasn't enough money for food?"
FSD122,"[In the last 12 months], did {CHILD'S NAME/any of the children} ever skip meals because there wasn't enough money for food?"
FSD132,How often did this happen?
FSD141,"In the last 12 months, {was CHILD'S NAME/were the children} ever hungry but you just couldn't afford more food?"
FSD146,"[In the last 12 months], did {CHILD'S NAME/any of the children} ever not eat for a whole day because there wasn't enough money for food?"
FSDHH,Household food security category for last 12 months
FSDAD,Adult food security category for last 12 months
FSDCH,Child food security category for last 12 months
FSD151,"In the last 12 months, did {you/you or any member of your household} ever get emergency food from a church, a food pantry, or a food bank, or eat in a soup kitchen?"
FSQ165,"The next questions are about SNAP, the Supplemental Nutrition Assistance Program, formerly known as the Food Stamp Program. SNAP benefits are provided on an electronic debit card {or EBT card} {called the DISPLAY STATE NAME FOR EBT CARD}} card in STATE}. Have {you/you or anyone in your household} ever received SNAP or Food Stamp benefits?"
FSQ012,"In the last 12 months, did {you/you or any member of your household} receive SNAP or Food Stamp benefits?"
FSD012N,"In the last 12 months, how many people in your household received SNAP or Food Stamp benefits?"
FSD230,{Do you/Does any member of your household} currently receive SNAP or Food Stamp benefits?
FSD225,Number of days between the time the household last received Food Stamp benefit and the date of interview.
FSQ235,How much did {you/your household} receive in food stamp benefits the last time you got them? ENTER DOLLAR AMOUNT.
FSQ162,"In the last 12 months, did {you/you or any member of your household} receive benefits from the WIC program, that is, the Women, Infants and Children program?"
FSD650ZC,"Did {SP} receive benefits from WIC, that is, the Women, Infants, and Children program, in the past 12 months?"
FSD660ZC,Is {SP} now receiving benefits from the WIC program?
FSD675,"{Next are a few questions about the WIC program, that is, the Women, Infants, and Children program} Did {SP} receive benefits from WIC when {he/she} was less than one year old?"
FSD680,Did {SP} receive benefits from WIC when {he/she} {was/is} between the ages of 1 to {SP AGE} years old?
FSD670ZC,How long {did SP receive/has SP been receiving} benefits from the WIC program?
FSQ690,"Did {SP's} mother receive benefits from WIC, while she was pregnant with {SP}?"
FSQ695,What month of the pregnancy did {SP's} mother begin to receive WIC benefits?
FSD650ZW,"These next questions are about participation in programs for women with young children. Did {you/SP} personally receive benefits from WIC, that is, the Women, Infants, and Children Program, in the past 12 months?"
FSD660ZW,{Are you/Is SP} now receiving benefits from the WIC Program?
FSD670ZW,"Thinking about {your/SP's} {pregnancy/recent pregnancy/most recent pregnancy/most recent pregnancies}, how long {did you receive/have you been receiving/did she receive/has she been receiving} benefits from the WIC Program?"
SEQN,Respondent sequence number
LBXHE2,Herpes Simplex Virus Type 2
SEQN,Respondent sequence number.
ORXGH,HPV High Globulin Band result
ORXGL,HPV Low Globulin Band result
ORXH06,HPV Type 6
ORXH11,HPV Type 11
ORXH16,HPV Type 16
ORXH18,HPV Type 18
ORXH26,HPV Type 26
ORXH31,HPV Type 31
ORXH33,HPV Type 33
ORXH35,HPV Type 35
ORXH39,HPV Type 39
ORXH40,HPV Type 40
ORXH42,HPV Type 42
ORXH45,HPV Type 45
ORXH51,HPV Type 51
ORXH52,HPV Type 52
ORXH53,HPV Type 53
ORXH54,HPV Type 54
ORXH55,HPV Type 55
ORXH56,HPV Type 56
ORXH58,HPV Type 58
ORXH59,HPV Type 59
ORXH61,HPV Type 61
ORXH62,HPV Type 62
ORXH64,HPV Type 64
ORXH66,HPV Type 66
ORXH67,HPV Type 67
ORXH68,HPV Type 68
ORXH69,HPV Type 69
ORXH70,HPV Type 70
ORXH71,HPV Type 71
ORXH72,HPV Type 72
ORXH73,HPV Type 73
ORXH81,HPV Type 81
ORXH82,HPV Type 82
ORXH83,HPV Type 83
ORXH84,HPV Type 84
ORXHPC,HPV CP 6108
ORXHPI,HPV Type IS39
ORXHPV,Oral HPV Result
SEQN,Respondent sequence number.
LBXHP2C,Cobas HPV Swab High Risk
LBDRPCR,Roche HPV linear array (LA) summary result
LBDRHP,Roche LA high positive globin control
LBDRLP,Roche LA low positive globin control
LBDR06,HPV type 6
LBDR11,HPV type 11
LBDR16,HPV type 16
LBDR18,HPV type 18
LBDR26,HPV type 26
LBDR31,HPV type 31
LBDR33,HPV type 33
LBDR35,HPV type 35
LBDR39,HPV type 39
LBDR40,HPV type 40
LBDR42,HPV type 42
LBDR45,HPV type 45
LBDR51,HPV type 51
LBDR52,HPV type 51
LBDR53,HPV type 53
LBDR54,HPV type 54
LBDR55,HPV type 55
LBDR56,HPV type 56
LBDR58,HPV type 58
LBDR59,HPV type 59
LBDR61,HPV type 61
LBDR62,HPV type 62
LBDR64,HPV type 64
LBDR66,HPV type 66
LBDR67,HPV type 67
LBDR68,HPV type 68
LBDR69,HPV type 69
LBDR70,HPV type 70
LBDR71,HPV type 71
LBDR72,HPV type 72
LBDR73,HPV type 73
LBDR81,HPV type 81
LBDR82,HPV type 82
LBDR83,HPV type 83
LBDR84,HPV type 84
LBDR89,HPV type 89
LBDRPI,HPV type IS39
SEQN,Respondent sequence number.
LBDRPCR,Roche HPV linear array (LA) summary result
LBDRHP,Roche LA high positive globin control
LBDRLP,Roche LA low positive globin control
LBDR06,HPV type 6
LBDR11,HPV type 11
LBDR16,HPV type 16
LBDR18,HPV type 18
LBDR26,HPV type 26
LBDR31,HPV type 31
LBDR33,HPV type 33
LBDR35,HPV type 35
LBDR39,HPV type 39
LBDR40,HPV type 40
LBDR42,HPV type 42
LBDR45,HPV type 45
LBDR51,HPV type 51
LBDR52,HPV type 51
LBDR53,HPV type 53
LBDR54,HPV type 54
LBDR55,HPV type 55
LBDR56,HPV type 56
LBDR58,HPV type 58
LBDR59,HPV type 59
LBDR61,HPV type 61
LBDR62,HPV type 62
LBDR64,HPV type 64
LBDR66,HPV type 66
LBDR67,HPV type 67
LBDR68,HPV type 68
LBDR69,HPV type 69
LBDR70,HPV type 70
LBDR71,HPV type 71
LBDR72,HPV type 72
LBDR73,HPV type 73
LBDR81,HPV type 81
LBDR82,HPV type 82
LBDR83,HPV type 83
LBDR84,HPV type 84
LBDR89,HPV type 89
LBDRPI,HPV type IS39
SEQN,Respondent sequence number.
RIDSTATR,Interview and examination status of the participant.
RIAGENDR,Gender of the participant.
RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.
RIDAGEMN,Age in months of the participant at the time of screening. Individuals aged 959 months and older are topcoded at 959 months.
RIDAGEEX,Age in years of the participant at the time of examination. Individuals aged 959 months and older are topcoded at 959 months.
RIDRETH1,Recode of reported race and Hispanic origin information
DMDBORN,In what country {were you/was SP} born?
DMDBORN2, 
DMDCITZN,{Are you/Is SP} a citizen of the United States? [Information about citizenship is being collected by the U.S. Public Health Service to perform health related research. Providing this information is voluntary and is collected under the authority of the Public Health Service Act. There will be no effect on pending immigration or citizenship petitions.]
DMDYRSUS,Length of time the participant has been in the US.
DMDEDUC3,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?
DMDMARTL,Marital status
RIDEXPRG,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.
INDHHIN2,Total household income (reported as a range value in dollars)
INDFMIN2,Total family income (reported as a range value in dollars)
INDFMPIR,A ratio of family income to poverty guidelines.
DMDHHSIZ,Total number of people in the Household
DMDFMSIZ,Total number of people in the Family
WTLAI8YR,"Full sample 8-year interview weight for participants in Los Angeles, California."
WTLI8R01,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 01 for participants in Los Angeles, California."
WTLI8R02,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 02 for participants in Los Angeles, California."
WTLI8R03,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 03 for participants in Los Angeles, California."
WTLI8R04,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 04 for participants in Los Angeles, California."
WTLI8R05,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 05 for participants in Los Angeles, California."
WTLI8R06,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 06 for participants in Los Angeles, California."
WTLI8R07,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 07 for participants in Los Angeles, California."
WTLI8R08,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 08 for participants in Los Angeles, California."
WTLI8R09,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 09 for participants in Los Angeles, California."
WTLI8R10,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 10 for participants in Los Angeles, California."
WTLI8R11,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 11 for participants in Los Angeles, California."
WTLI8R12,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 12 for participants in Los Angeles, California."
WTLI8R13,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 13 for participants in Los Angeles, California."
WTLI8R14,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 14 for participants in Los Angeles, California."
WTLI8R15,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 15 for participants in Los Angeles, California."
WTLI8R16,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 16 for participants in Los Angeles, California."
WTLI8R17,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 17 for participants in Los Angeles, California."
WTLI8R18,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 18 for participants in Los Angeles, California."
WTLI8R19,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 19 for participants in Los Angeles, California."
WTLI8R20,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 20 for participants in Los Angeles, California."
WTLI8R21,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 21 for participants in Los Angeles, California."
WTLI8R22,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 22 for participants in Los Angeles, California."
WTLI8R23,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 23 for participants in Los Angeles, California."
WTLI8R24,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 24 for participants in Los Angeles, California."
WTLI8R25,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 25 for participants in Los Angeles, California."
WTLI8R26,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 26 for participants in Los Angeles, California."
WTLI8R27,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 27 for participants in Los Angeles, California."
WTLI8R28,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 28 for participants in Los Angeles, California."
WTLI8R29,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 29 for participants in Los Angeles, California."
WTLI8R30,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 30 for participants in Los Angeles, California."
WTLI8R31,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 31 for participants in Los Angeles, California."
WTLI8R32,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 32 for participants in Los Angeles, California."
WTLI8R33,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 33 for participants in Los Angeles, California."
WTLI8R34,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 34 for participants in Los Angeles, California."
WTLI8R35,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 35 for participants in Los Angeles, California."
WTLI8R36,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 36 for participants in Los Angeles, California."
WTLI8R37,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 37 for participants in Los Angeles, California."
WTLI8R38,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 38 for participants in Los Angeles, California."
WTLI8R39,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 39 for participants in Los Angeles, California."
WTLI8R40,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 40 for participants in Los Angeles, California."
WTLI8R41,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 41 for participants in Los Angeles, California."
WTLI8R42,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 42 for participants in Los Angeles, California."
WTLI8R43,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 43 for participants in Los Angeles, California."
WTLI8R44,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 44 for participants in Los Angeles, California."
WTLI8R45,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 45 for participants in Los Angeles, California."
WTLI8R46,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 46 for participants in Los Angeles, California."
WTLI8R47,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 47 for participants in Los Angeles, California."
WTLI8R48,"8-year interview weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 48 for participants in Los Angeles, California."
LATVPSU,Variance unit: PSU variable for variance estimation
LATVSTRA,Variance unit: stratum variable for variance estimation
WTLAM8YR,"Full sample 8-year MEC exam weight for participants in Los Angeles, California."
WTLM8R01,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 01 for participants in Los Angeles, California."
WTLM8R02,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 02 for participants in Los Angeles, California."
WTLM8R03,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 03 for participants in Los Angeles, California."
WTLM8R04,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 04 for participants in Los Angeles, California."
WTLM8R05,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 05 for participants in Los Angeles, California."
WTLM8R06,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 06 for participants in Los Angeles, California."
WTLM8R07,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 07 for participants in Los Angeles, California."
WTLM8R08,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 08 for participants in Los Angeles, California."
WTLM8R09,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 09 for participants in Los Angeles, California."
WTLM8R10,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 10 for participants in Los Angeles, California."
WTLM8R11,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 11 for participants in Los Angeles, California."
WTLM8R12,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 12 for participants in Los Angeles, California."
WTLM8R13,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 13 for participants in Los Angeles, California."
WTLM8R14,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 14 for participants in Los Angeles, California."
WTLM8R15,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 15 for participants in Los Angeles, California."
WTLM8R16,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 16 for participants in Los Angeles, California."
WTLM8R17,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 17 for participants in Los Angeles, California."
WTLM8R18,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 18 for participants in Los Angeles, California."
WTLM8R19,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 19 for participants in Los Angeles, California."
WTLM8R20,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 20 for participants in Los Angeles, California."
WTLM8R21,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 21 for participants in Los Angeles, California."
WTLM8R22,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 22 for participants in Los Angeles, California."
WTLM8R23,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 23 for participants in Los Angeles, California."
WTLM8R24,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 24 for participants in Los Angeles, California."
WTLM8R25,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 25 for participants in Los Angeles, California."
WTLM8R26,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 26 for participants in Los Angeles, California."
WTLM8R27,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 27 for participants in Los Angeles, California."
WTLM8R28,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 28 for participants in Los Angeles, California."
WTLM8R29,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 29 for participants in Los Angeles, California."
WTLM8R30,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 30 for participants in Los Angeles, California."
WTLM8R31,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 31 for participants in Los Angeles, California."
WTLM8R32,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 32 for participants in Los Angeles, California."
WTLM8R33,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 33 for participants in Los Angeles, California."
WTLM8R34,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 34 for participants in Los Angeles, California."
WTLM8R35,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 35 for participants in Los Angeles, California."
WTLM8R36,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 36 for participants in Los Angeles, California."
WTLM8R37,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 37 for participants in Los Angeles, California."
WTLM8R38,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 38 for participants in Los Angeles, California."
WTLM8R39,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 39 for participants in Los Angeles, California."
WTLM8R40,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 40 for participants in Los Angeles, California."
WTLM8R41,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 41 for participants in Los Angeles, California."
WTLM8R42,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 42 for participants in Los Angeles, California."
WTLM8R43,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 43 for participants in Los Angeles, California."
WTLM8R44,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 44 for participants in Los Angeles, California."
WTLM8R45,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 45 for participants in Los Angeles, California."
WTLM8R46,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 46 for participants in Los Angeles, California."
WTLM8R47,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 47 for participants in Los Angeles, California."
WTLM8R48,"8-year MEC exam weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 48 for participants in Los Angeles, California."
WTLAF8YR,"Subsample 8-year fasting weight for participants aged 12 years and older who were examined in the morning sessions in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R01,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 01 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R02,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 02 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R03,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 03 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R04,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 04 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R05,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 05 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R06,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 06 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R07,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 07 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R08,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 08 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R09,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 09 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R10,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 10 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R11,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 11 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R12,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 12 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R13,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 13 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R14,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 14 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R15,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 15 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R16,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 16 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R17,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 17 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R18,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 18 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R19,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 19 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R20,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 20 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R21,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 21 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R22,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 22 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R23,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 23 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R24,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 24 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R25,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 25 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R26,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 26 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R27,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 27 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R28,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 28 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R29,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 29 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R30,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 30 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R31,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 31 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R32,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 32 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R33,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 33 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R34,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 34 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R35,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 35 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R36,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 36 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R37,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 37 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R38,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 38 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R39,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 39 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R40,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 40 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R41,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 41 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R42,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 42 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R43,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 43 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
WTLF8R44,"8-year fasting weight: Fay's-adjusted balanced repeated replication (Fay's BRR) weight 44 for fasting subsample in Los Angeles, California. A missing value indicates the participant was not included in the fasting subsample."
